Sepal length,Sepal width,Petal length, Petal width,Species
5.02,3.5,1.4,0.2,Iris-setosa
4.66,3,1.4,0.2,Iris-setosa
4.66,3.2,1.3,0.2,Iris-setosa
4.3,3.1,1.5,0.2,Iris-setosa
4.66,3.6,1.4,0.2,Iris-setosa
5.38,3.9,1.7,0.4,Iris-setosa
4.3,3.4,1.4,0.3,Iris-setosa
4.66,3.4,1.5,0.2,Iris-setosa
4.3,2.9,1.4,0.2,Iris-setosa
4.66,3.1,1.5,0.1,Iris-setosa
5.38,3.7,1.5,0.2,Iris-setosa
4.66,3.4,1.6,0.2,Iris-setosa
4.66,3,1.4,0.1,Iris-setosa
4.3,3,1.1,0.1,Iris-setosa
5.74,4,1.2,0.2,Iris-setosa
5.38,4.4,1.5,0.4,Iris-setosa
5.38,3.9,1.3,0.4,Iris-setosa
5.02,3.5,1.4,0.3,Iris-setosa
5.38,3.8,1.7,0.3,Iris-setosa
5.02,3.8,1.5,0.3,Iris-setosa
5.38,3.4,1.7,0.2,Iris-setosa
5.02,3.7,1.5,0.4,Iris-setosa
4.3,3.6,1,0.2,Iris-setosa
5.02,3.3,1.7,0.5,Iris-setosa
4.66,3.4,1.9,0.2,Iris-setosa
4.66,3,1.6,0.2,Iris-setosa
4.66,3.4,1.6,0.4,Iris-setosa
5.02,3.5,1.5,0.2,Iris-setosa
5.02,3.4,1.4,0.2,Iris-setosa
4.66,3.2,1.6,0.2,Iris-setosa
4.66,3.1,1.6,0.2,Iris-setosa
5.38,3.4,1.5,0.4,Iris-setosa
5.02,4.1,1.5,0.1,Iris-setosa
5.38,4.2,1.4,0.2,Iris-setosa
4.66,3.1,1.5,0.1,Iris-setosa
4.66,3.2,1.2,0.2,Iris-setosa
5.38,3.5,1.3,0.2,Iris-setosa
4.66,3.1,1.5,0.1,Iris-setosa
4.3,3,1.3,0.2,Iris-setosa
5.02,3.4,1.5,0.2,Iris-setosa
4.66,3.5,1.3,0.3,Iris-setosa
4.3,2.3,1.3,0.3,Iris-setosa
4.3,3.2,1.3,0.2,Iris-setosa
4.66,3.5,1.6,0.6,Iris-setosa
5.02,3.8,1.9,0.4,Iris-setosa
4.66,3,1.4,0.3,Iris-setosa
5.02,3.8,1.6,0.2,Iris-setosa
4.3,3.2,1.4,0.2,Iris-setosa
5.02,3.7,1.5,0.2,Iris-setosa
4.66,3.3,1.4,0.2,Iris-setosa
6.82,3.2,4.7,1.4,Iris-versicolor
6.1,3.2,4.5,1.5,Iris-versicolor
6.82,3.1,4.9,1.5,Iris-versicolor
5.38,2.3,4,1.3,Iris-versicolor
6.46,2.8,4.6,1.5,Iris-versicolor
5.38,2.8,4.5,1.3,Iris-versicolor
6.1,3.3,4.7,1.6,Iris-versicolor
4.66,2.4,3.3,1,Iris-versicolor
6.46,2.9,4.6,1.3,Iris-versicolor
5.02,2.7,3.9,1.4,Iris-versicolor
4.66,2,3.5,1,Iris-versicolor
