var1,var2,label
3.82,2.95,36.94
5.13,13.09,47.70
3.99,18.22,36.66
6.87,10.31,29.10
6.44,13.14,9.95
6.68,7.01,10.75
6.81,19.97,7.21
2.16,5.11,17.51
3.35,11.26,0.96
2.35,9.73,46.75
3.88,16.87,49.97
5.84,2.80,39.20
0.56,11.91,31.81
4.70,15.94,24.44
8.00,3.46,0.89
1.29,18.92,8.48
9.19,5.68,5.85
3.07,15.47,31.87
4.57,2.68,42.06
4.71,12.16,19.26
2.03,9.42,4.83
5.64,6.82,14.07
9.73,3.21,3.67
3.74,14.82,13.29
6.32,6.17,18.75
7.16,8.33,18.58
3.69,15.22,23.59
3.75,7.33,18.74
2.11,7.24,34.43
3.06,12.88,31.10
6.70,19.35,34.27
8.21,11.97,16.34
8.28,16.83,32.74
4.07,7.65,2.21
4.19,3.76,37.40
9.65,15.87,41.50
2.62,2.79,12.02
0.40,19.15,1.03
9.17,1.86,39.54
2.15,8.53,18.75
2.17,17.95,38.60
7.25,6.04,31.06
8.46,8.06,8.39
2.41,6.51,3.42
9.01,2.82,30.42
7.88,2.81,48.46
5.75,19.50,2.18
2.60,2.52,21.51
5.74,7.21,13.59
2.07,6.24,14.27
1.68,14.27,22.72
9.85,14.50,14.18
6.63,12.91,39.38
5.18,16.63,14.85
7.18,1.61,21.85
1.00,4.03,20.39
2.83,7.22,17.92
6.96,4.16,38.16
1.63,12.54,10.05
3.03,9.46,43.66
4.51,14.94,9.60
8.01,15.48,41.98
5.96,14.11,20.12
5.87,15.92,1.30
0.96,4.54,45.17
3.99,14.64,44.43
1.76,13.69,38.82
1.34,15.89,33.71
6.57,8.76,32.55
7.91,8.63,3.85
3.66,3.95,18.68
4.84,9.90,15.67
5.22,2.02,24.89
1.77,16.36,34.60
1.19,11.07,5.36
6.37,10.37,24.32
4.82,7.69,39.46
1.15,19.51,37.51
5.66,10.58,13.15
3.19,12.19,41.11
0.50,12.69,19.04
7.81,12.03,48.01
5.69,1.78,32.43
6.67,12.71,16.46
7.41,16.31,13.24
7.72,16.24,2.88
7.43,16.60,8.78
9.19,11.60,4.49
4.89,19.08,11.00
2.06,17.30,21.39
7.62,10.55,31.58
8.95,10.21,41.79
8.66,9.66,12.86
3.97,17.69,40.17
8.59,14.66,12.94
5.89,12.09,28.24
0.50,19.42,10.36
1.71,11.38,18.06
8.69,19.36,0.11
3.22,7.41,13.07
1.36,13.99,33.04
3.15,10.41,14.43
2.44,10.06,26.26
5.39,0.97,44.84
2.79,10.70,49.14
9.13,9.38,47.18
7.43,13.33,42.43
1.56,10.02,27.08
7.27,18.45,36.57
8.28,1.69,34.45
2.99,19.04,28.58
3.95,0.02,5.29
7.17,2.05,0.07
3.34,16.67,18.08
7.15,1.65,45.11
8.14,0.17,21.16
5.10,19.17,12.63
8.72,8.21,9.69
